epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,657.507,0.59932,0.39191,1.13965,0.94699,0.86765,0.96239,0.69261,1.05871,0.55992,1.31409,0.0003962,0.0003962,0.0003962
83,665.426,0.57212,0.38095,1.12155,0.91527,0.95319,0.96934,0.67402,1.18285,0.55965,1.43704,0.0003764,0.0003764,0.0003764
84,673.359,0.56217,0.36771,1.11183,0.9334,0.89706,0.95514,0.70209,1.06995,0.56112,1.33029,0.0003566,0.0003566,0.0003566
85,681.263,0.57886,0.38733,1.13099,0.97314,0.86765,0.96242,0.7077,1.07513,0.52479,1.34328,0.0003368,0.0003368,0.0003368
86,689.211,0.54808,0.37387,1.12385,0.9836,0.88205,0.96929,0.693,1.12326,0.54709,1.34931,0.000317,0.000317,0.000317
87,697.14,0.55668,0.36949,1.10402,0.95026,0.88235,0.96295,0.68692,1.10655,0.54659,1.36013,0.0002972,0.0002972,0.0002972
88,705.11,0.56964,0.37657,1.11979,1,0.8506,0.95292,0.702,1.06536,0.55864,1.28558,0.0002774,0.0002774,0.0002774
89,713.123,0.5566,0.36401,1.09232,0.9656,0.82559,0.92899,0.69072,1.05513,0.58279,1.32031,0.0002576,0.0002576,0.0002576
90,721.082,0.54876,0.38172,1.10858,0.99644,0.86765,0.93241,0.68097,1.07939,0.6227,1.30075,0.0002378,0.0002378,0.0002378
91,729.524,0.47429,0.3248,1.06669,0.98055,0.86765,0.93265,0.67651,1.03752,0.63587,1.27336,0.000218,0.000218,0.000218
92,737.479,0.42912,0.26194,1.02278,0.91511,0.95588,0.96136,0.69272,1.02582,0.56009,1.2913,0.0001982,0.0001982,0.0001982
93,745.343,0.40653,0.2574,1.01018,0.96751,0.8758,0.9562,0.71076,0.9834,0.53789,1.2734,0.0001784,0.0001784,0.0001784
94,753.223,0.40443,0.25296,1.01207,0.97966,0.89706,0.97379,0.71828,1.02252,0.53749,1.26966,0.0001586,0.0001586,0.0001586
95,761.085,0.39698,0.25164,1.003,0.98409,0.90991,0.97145,0.68072,1.09855,0.56117,1.34761,0.0001388,0.0001388,0.0001388
96,768.963,0.38171,0.24703,0.99432,0.96138,0.91176,0.97613,0.70445,1.07263,0.53714,1.32685,0.000119,0.000119,0.000119
97,776.815,0.38235,0.24253,1.00317,0.95439,0.92321,0.97605,0.70112,1.06405,0.53808,1.29132,9.92e-05,9.92e-05,9.92e-05
98,784.681,0.37248,0.23571,0.98753,0.96189,0.91176,0.97418,0.70803,1.0662,0.52569,1.31684,7.94e-05,7.94e-05,7.94e-05
99,792.536,0.36951,0.23362,0.98157,0.95437,0.92285,0.97432,0.69412,1.1163,0.54145,1.35867,5.96e-05,5.96e-05,5.96e-05
100,800.406,0.36292,0.23232,0.97732,0.9687,0.91037,0.97337,0.71345,1.04988,0.53442,1.30975,3.98e-05,3.98e-05,3.98e-05
